obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence,corridor_file
2026-07-23 14:00:00+00:00,BSD/Serpong,Jabodetabek,34.0,34.0,165.0,165.0,0.0,0.0,1.0,tt_bsd
2026-07-23 14:00:00+00:00,Cawang interchange,Jabodetabek,43.0,43.0,62.0,62.0,0.0,0.0,1.0,tt_cawang
2026-07-23 14:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0,tt_depok
2026-07-23 14:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,45.0,45.0,52.0,52.0,0.0,0.0,1.0,tt_gatsu
2026-07-23 14:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0,tt_grogol
2026-07-23 14:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,27.0,35.0,1501.0,1158.0,0.2285714285714285,0.0,1.0,tt_kebonjeruk
2026-07-23 14:00:00+00:00,Kelapa Gading,Jabodetabek,29.0,29.0,1059.0,1059.0,0.0,0.0,1.0,tt_kelapagading
2026-07-23 14:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,21.0,21.0,208.0,208.0,0.0,0.0,1.0,tt_kuningan
2026-07-23 14:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,29.0,39.0,494.0,368.0,0.2564102564102564,0.0,1.0,tt_sudirman
2026-07-23 14:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0,tt_tangerang
2026-07-23 14:00:00+00:00,TB Simatupang,Jabodetabek,72.0,72.0,343.0,343.0,0.0,0.0,1.0,tt_tbsimatupang
2026-07-23 14:00:00+00:00,Jl. MH Thamrin,Jabodetabek,19.0,25.0,302.0,229.0,0.24,0.0,1.0,tt_thamrin
2026-07-27 02:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,18.0,18.0,1072.0,1072.0,0.0,0.0,1.0,tt_bekasi
2026-07-27 02:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,36.0,44.0,823.0,673.0,0.1818181818181817,0.0,1.0,tt_bogor
2026-07-27 02:00:00+00:00,BSD/Serpong,Jabodetabek,34.0,34.0,165.0,165.0,0.0,0.0,1.0,tt_bsd
2026-07-27 02:00:00+00:00,Cawang interchange,Jabodetabek,18.0,42.0,150.0,64.0,0.5714285714285714,0.0,1.0,tt_cawang
2026-07-27 02:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0,tt_depok
2026-07-27 02:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,35.0,45.0,67.0,52.0,0.2222222222222222,0.0,1.0,tt_gatsu
2026-07-27 02:00:00+00:00,Grogol,Jabodetabek,28.0,40.0,435.0,304.0,0.3,0.0,1.0,tt_grogol
2026-07-27 02:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,25.0,35.0,1622.0,1158.0,0.2857142857142857,0.0,1.0,tt_kebonjeruk
2026-07-27 02:00:00+00:00,Kelapa Gading,Jabodetabek,29.0,29.0,1059.0,1059.0,0.0,0.0,1.0,tt_kelapagading
2026-07-27 02:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,15.0,20.0,291.0,218.0,0.25,0.0,0.997206,tt_kuningan
