station_id,name,obs_time_utc,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence,frc
tt_dramaga,Jl. Raya Dramaga (Bogor),2026-09-07T03:26:13+00:00,-6.557,106.745,28,28,370,370,0.0,False,1.0,FRC4
tt_antasari_toll,Tol Depok-Antasari (Krukut),2026-09-07T03:26:13+00:00,-6.335,106.796,27,27,238,238,0.0,False,1.0,FRC4
tt_cijago_toll,Tol Cijago (Depok),2026-09-07T03:26:13+00:00,-6.376,106.865,30,37,342,277,0.1892,False,1.0,FRC1
tt_transyogi,Jl. Transyogi (Cibubur),2026-09-07T03:26:13+00:00,-6.364,106.91,26,26,240,240,0.0,False,1.0,FRC4
tt_cileungsi,Jl. Raya Cileungsi,2026-09-07T03:26:13+00:00,-6.405,106.96,28,28,47,47,0.0,False,1.0,FRC2
tt_narogong,Jl. Raya Narogong (Rawalumbu),2026-09-07T03:26:13+00:00,-6.29,106.97,21,27,1737,1351,0.2222,False,0.991934,FRC2
tt_jatiasih,Jl. Jatiasih Raya,2026-09-07T03:26:13+00:00,-6.305,106.952,26,26,246,246,0.0,False,1.0,FRC3
tt_pondokgede,Jl. Raya Pondok Gede,2026-09-07T03:26:13+00:00,-6.283,106.91,26,32,1296,1053,0.1875,False,0.994071,FRC2
tt_cikarang,Cikarang (Jababeka),2026-09-07T03:26:13+00:00,-6.282,107.152,18,27,772,514,0.3333,False,0.97529,FRC2
tt_harapanindah,Boulevard Harapan Indah,2026-09-07T03:26:13+00:00,-6.183,106.983,29,29,436,436,0.0,False,1.0,FRC4
tt_becakayu_toll,Tol Becakayu,2026-09-07T03:26:13+00:00,-6.243,106.92,26,33,498,392,0.2121,False,0.99715,FRC2
tt_jorr_e,Tol JORR Timur (Jatiwarna),2026-09-07T03:26:13+00:00,-6.296,106.913,23,29,516,409,0.2069,False,0.937629,FRC3
tt_sudirman,Jl. Sudirman (HI),2026-09-07T03:37:56+00:00,-6.2088,106.8228,26,38,552,377,0.3158,False,1.0,FRC1
tt_thamrin,Jl. MH Thamrin,2026-09-07T03:37:56+00:00,-6.188,106.823,19,24,302,239,0.2083,False,1.0,FRC1
tt_gatsu,Jl. Gatot Subroto,2026-09-07T03:37:56+00:00,-6.2349,106.83,45,45,52,52,0.0,False,1.0,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-07T03:37:56+00:00,-6.221,106.83,21,21,208,208,0.0,False,1.0,FRC4
tt_cawang,Cawang interchange,2026-09-07T03:37:56+00:00,-6.245,106.865,33,43,81,62,0.2326,False,1.0,FRC1
tt_grogol,Grogol,2026-09-07T03:37:56+00:00,-6.166,106.79,30,40,406,304,0.25,False,1.0,FRC2
tt_kelapagading,Kelapa Gading,2026-09-07T03:37:56+00:00,-6.158,106.906,25,29,1228,1059,0.1379,False,0.996914,FRC3
tt_tbsimatupang,TB Simatupang,2026-09-07T03:37:56+00:00,-6.293,106.82,52,72,475,343,0.2778,False,1.0,FRC0
