station_id,name,obs_time_utc,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,confidence,road_closure,frc
tt_bekasi,Tol Jakarta-Cikampek,2026-09-12T11:00:00+00:00,-6.24,106.975,18,18,1072,1072,0.0,1.0,False,FRC4
tt_bogor,Tol Jagorawi (Bogor),2026-09-12T11:00:00+00:00,-6.5,106.84,32,45,925,658,0.2889,1.0,False,FRC1
tt_bsd,BSD/Serpong,2026-09-12T11:00:00+00:00,-6.3,106.67,27,34,208,165,0.2059,1.0,False,FRC3
tt_cawang,Cawang interchange,2026-09-12T11:00:00+00:00,-6.245,106.865,29,41,93,65,0.2927,1.0,False,FRC1
tt_depok,Jl. Margonda (Depok),2026-09-12T11:00:00+00:00,-6.4,106.82,23,31,2397,1778,0.2581,0.988131,False,FRC2
tt_gatsu,Jl. Gatot Subroto,2026-09-12T11:00:00+00:00,-6.2349,106.83,45,45,52,52,0.0,1.0,False,FRC3
tt_grogol,Grogol,2026-09-12T11:00:00+00:00,-6.166,106.79,30,40,406,304,0.25,1.0,False,FRC2
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-12T11:00:00+00:00,-6.195,106.77,23,35,1763,1158,0.3429,1.0,False,FRC2
tt_kelapagading,Kelapa Gading,2026-09-12T11:00:00+00:00,-6.158,106.906,19,30,1617,1024,0.3667,1.0,False,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-12T11:00:00+00:00,-6.221,106.83,21,21,208,208,0.0,1.0,False,FRC4
tt_sudirman,Jl. Sudirman (HI),2026-09-12T11:00:00+00:00,-6.2088,106.8228,25,38,574,377,0.3421,1.0,False,FRC1
tt_tangerang,Tol Jakarta-Merak,2026-09-12T11:00:00+00:00,-6.2,106.63,33,47,281,197,0.2979,1.0,False,FRC1
tt_tbsimatupang,TB Simatupang,2026-09-12T11:00:00+00:00,-6.293,106.82,57,72,433,343,0.2083,1.0,False,FRC0
tt_thamrin,Jl. MH Thamrin,2026-09-12T11:00:00+00:00,-6.188,106.823,15,22,383,261,0.3182,1.0,False,FRC1
tt_bekasi,Tol Jakarta-Cikampek,2026-09-12T14:00:00+00:00,-6.24,106.975,15,18,1286,1072,0.1667,0.884084,False,FRC4
tt_bogor,Tol Jagorawi (Bogor),2026-09-12T14:00:00+00:00,-6.5,106.84,35,44,846,673,0.2045,1.0,False,FRC1
tt_bsd,BSD/Serpong,2026-09-12T14:00:00+00:00,-6.3,106.67,34,34,165,165,0.0,1.0,False,FRC3
tt_cawang,Cawang interchange,2026-09-12T14:00:00+00:00,-6.245,106.865,27,43,100,62,0.3721,1.0,False,FRC1
tt_depok,Jl. Margonda (Depok),2026-09-12T14:00:00+00:00,-6.4,106.82,21,31,2625,1778,0.3226,0.991377,False,FRC2
tt_gatsu,Jl. Gatot Subroto,2026-09-12T14:00:00+00:00,-6.2349,106.83,45,45,52,52,0.0,1.0,False,FRC3
tt_grogol,Grogol,2026-09-12T14:00:00+00:00,-6.166,106.79,31,40,393,304,0.225,1.0,False,FRC2
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-12T14:00:00+00:00,-6.195,106.77,27,35,1501,1158,0.2286,1.0,False,FRC2
tt_kelapagading,Kelapa Gading,2026-09-12T14:00:00+00:00,-6.158,106.906,21,29,1463,1059,0.2759,1.0,False,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-12T14:00:00+00:00,-6.221,106.83,16,20,273,218,0.2,1.0,False,FRC4
tt_sudirman,Jl. Sudirman (HI),2026-09-12T14:00:00+00:00,-6.2088,106.8228,28,38,512,377,0.2632,1.0,False,FRC1
tt_tangerang,Tol Jakarta-Merak,2026-09-12T14:00:00+00:00,-6.2,106.63,37,48,250,193,0.2292,1.0,False,FRC1
