seed,corridor,horizon,fixed_mae,adaptive_mae,improvement_pct
123,tt_cawang,1,6.383287229166666,7.200226770833333,-12.798100921009592
123,tt_cawang,3,7.984561750000001,8.881589083333333,-11.234521836258978
123,tt_cawang,6,9.749200583333332,10.5715595,-8.435142036902231
123,tt_depok,1,2.5025295,2.032566520833333,18.779518050303384
123,tt_depok,3,2.6795509583333335,2.5826155416666667,3.6175992983152683
123,tt_depok,6,2.7961418333333334,2.8734321458333327,-2.764177109279898
123,tt_gatsu,1,7.4459581875,7.2728565624999995,2.32477299282444
123,tt_gatsu,3,8.662298208333334,8.582944812500001,0.9160778574558149
123,tt_gatsu,6,8.480859520833334,9.164470854166666,-8.060637387684963
123,tt_grogol,1,2.3594511874999995,2.6665756041666664,-13.016773489265795
123,tt_grogol,3,3.1926963125000003,3.997756520833334,-25.21568384632679
123,tt_grogol,6,4.281772958333334,5.412393625,-26.40543246148102
123,tt_kebonjeruk,1,2.8506316875,2.952388291666667,-3.569615977148815
123,tt_kebonjeruk,3,4.4166990833333335,5.169267895833333,-17.039168806855358
123,tt_kebonjeruk,6,6.3898417499999995,7.3169338958333325,-14.50884360059986
123,tt_kelapagading,1,2.7424481249999997,2.1250228125,22.513655112437164
123,tt_kelapagading,3,3.7649544375,3.095320020833334,17.785989917883736
123,tt_kelapagading,6,5.740622770833333,4.1467291875,27.76516846624215
123,tt_kuningan,1,2.115287,2.1180735416666665,-0.13173350314480192
123,tt_kuningan,3,2.3574283333333335,2.7708195625,-17.535685955812006
123,tt_kuningan,6,2.3644665208333335,3.3722898125,-42.623707410814546
123,tt_sudirman,1,4.9796000625,4.3940745833333335,11.758484051281515
123,tt_sudirman,3,7.161695541666667,6.834416375,4.56985590580555
123,tt_sudirman,6,9.663647166666667,9.259714333333333,4.179921166064932
123,tt_tangerang,1,4.7606868125,4.723020583333333,0.7911931754840177
123,tt_tangerang,3,5.738787916666666,6.080847875,-5.960491366825358
123,tt_tangerang,6,5.301724770833334,6.593545,-24.366037186113964
123,tt_tbsimatupang,1,12.453857083333334,13.391048166666666,-7.525307838866639
123,tt_tbsimatupang,3,16.118652270833334,16.8640984375,-4.624742528974029
123,tt_tbsimatupang,6,16.8144625,17.775273916666666,-5.714196434567357
123,tt_thamrin,1,2.7595079583333333,2.8469902291666664,-3.1702126666875072
123,tt_thamrin,3,3.3002282291666667,3.483801125,-5.562430325604685
123,tt_thamrin,6,4.598567125,4.787807770833333,-4.1152089485555425
456,tt_bekasi,1,1.5741373958333336,1.4126010729166667,10.261894758630714
456,tt_bekasi,3,1.9347191874999998,1.749977614583333,9.54875385070149
456,tt_bekasi,6,2.4549932916666664,3.0911425208333334,-25.91246303303716
456,tt_bogor,1,3.7227033333333335,3.3902747916666662,8.929761839738342
456,tt_bogor,3,4.470927229166667,4.55077175,-1.7858604432757799
456,tt_bogor,6,5.098613812500001,6.141048895833333,-20.44546070105662
456,tt_bsd,1,2.8097070416666665,2.2868761875000003,18.60802021041071
456,tt_bsd,3,2.4415355625,2.212899479166667,9.364437972765877
456,tt_bsd,6,3.408355145833333,2.477005270833333,27.325493827677032
456,tt_cawang,1,6.119419104166667,6.977198916666666,-14.017340500766531
456,tt_cawang,3,7.793431479166667,8.489145625,-8.926929654711286
456,tt_cawang,6,9.2980479375,9.815320958333333,-5.563243213095477
456,tt_depok,1,2.435371416666666,2.120430041666667,12.931964826583403
456,tt_depok,3,2.5910153958333333,2.4811869166666667,4.2388200140873
456,tt_depok,6,3.1476820208333334,2.847551708333333,9.534962887405708
456,tt_gatsu,1,7.257898083333334,7.438958583333334,-2.494668537930812
456,tt_gatsu,3,8.6223405,8.315533729166667,3.558277138711155
456,tt_gatsu,6,7.8960400208333335,8.823273354166666,-11.74301714387048
456,tt_grogol,1,2.3914131041666664,2.7922431458333326,-16.761221261532853
456,tt_grogol,3,3.3075998541666665,3.7365796875000004,-12.969520263853479
456,tt_grogol,6,4.292256041666667,4.8650020625,-13.343705857093713
456,tt_kebonjeruk,1,2.74344875,2.511655020833334,8.448990678855083
456,tt_kebonjeruk,3,4.557912604166667,4.4558838125,2.2384982014222112
456,tt_kebonjeruk,6,6.698433125,6.588006270833333,1.6485475350127874
456,tt_kelapagading,1,2.8995641875,1.920550875,33.76415382423742
456,tt_kelapagading,3,4.000643083333333,2.8156947916666666,29.618945429127574
