source,target,weight
tt_bogor,tt_sudirman,0.016276231035590172
tt_bogor,tt_tangerang,0.016276231035590172
tt_bogor,tt_kuningan,0.016276231035590172
tt_bogor,tt_thamrin,0.016276231035590172
tt_bsd,tt_gatsu,0.012170243076980114
tt_bsd,tt_tbsimatupang,0.009641122072935104
tt_bsd,tt_sudirman,0.009641122072935104
tt_bsd,tt_kuningan,0.009641122072935104
tt_bsd,tt_thamrin,0.009641122072935104
tt_bsd,tt_kelapagading,0.009641122072935104
tt_bsd,tt_kebonjeruk,0.009641122072935104
tt_bsd,tt_depok,0.009641122072935104
tt_bsd,tt_bekasi,0.009641122072935104
tt_bsd,tt_tangerang,0.009641122072935104
